,text,rating,sentence,word,label,keyword,index,sentiment_score,sentiment
0,"春分時節、非假日好天氣，排了十幾位。甚至在這裡碰到股市分析大師孫慶隆帶家人一起來，也在此消費。
詢問點餐服務人員，今天好天氣算人數比較多，若是假日又是好天氣，常常排的人龍滿滿。
所以台大的智慧校園，免費桌椅、春天太陽、綠色植物豊富，大家都是來逛累了，買小點心來坐坐。鬆餅大圓形、口味不錯，有推薦的買來吃絕對不會有問題，飲料$40也符合期待值。
的確很好的地方，停車也方便，溜小孩、溜老婆都是好景點！👍",5,春分時節、非假日好天氣,春分 時節 非 假日 好 天氣,其他,"太陽, 滿滿, 老婆, 詢問, 人員",1,0.020302942108428534,負面
1,"春分時節、非假日好天氣，排了十幾位。甚至在這裡碰到股市分析大師孫慶隆帶家人一起來，也在此消費。
詢問點餐服務人員，今天好天氣算人數比較多，若是假日又是好天氣，常常排的人龍滿滿。
所以台大的智慧校園，免費桌椅、春天太陽、綠色植物豊富，大家都是來逛累了，買小點心來坐坐。鬆餅大圓形、口味不錯，有推薦的買來吃絕對不會有問題，飲料$40也符合期待值。
的確很好的地方，停車也方便，溜小孩、溜老婆都是好景點！👍",5,排了十幾位,排 十幾位,時間,"太陽, 滿滿, 老婆, 詢問, 人員",1,0.33261862374666995,負面
2,"春分時節、非假日好天氣，排了十幾位。甚至在這裡碰到股市分析大師孫慶隆帶家人一起來，也在此消費。
詢問點餐服務人員，今天好天氣算人數比較多，若是假日又是好天氣，常常排的人龍滿滿。
所以台大的智慧校園，免費桌椅、春天太陽、綠色植物豊富，大家都是來逛累了，買小點心來坐坐。鬆餅大圓形、口味不錯，有推薦的買來吃絕對不會有問題，飲料$40也符合期待值。
的確很好的地方，停車也方便，溜小孩、溜老婆都是好景點！👍",5,甚至在這裡碰到股市分析大師孫慶隆帶家人一起來,這裡 碰到 股市 分析 大師 孫慶隆 家人 一起,其他,"太陽, 滿滿, 老婆, 詢問, 人員",1,0.06891425964395537,負面
3,"春分時節、非假日好天氣，排了十幾位。甚至在這裡碰到股市分析大師孫慶隆帶家人一起來，也在此消費。
詢問點餐服務人員，今天好天氣算人數比較多，若是假日又是好天氣，常常排的人龍滿滿。
所以台大的智慧校園，免費桌椅、春天太陽、綠色植物豊富，大家都是來逛累了，買小點心來坐坐。鬆餅大圓形、口味不錯，有推薦的買來吃絕對不會有問題，飲料$40也符合期待值。
的確很好的地方，停車也方便，溜小孩、溜老婆都是好景點！👍",5,也在此消費,消費,其他,"太陽, 滿滿, 老婆, 詢問, 人員",1,0.10831240717640167,負面
4,"春分時節、非假日好天氣，排了十幾位。甚至在這裡碰到股市分析大師孫慶隆帶家人一起來，也在此消費。
詢問點餐服務人員，今天好天氣算人數比較多，若是假日又是好天氣，常常排的人龍滿滿。
所以台大的智慧校園，免費桌椅、春天太陽、綠色植物豊富，大家都是來逛累了，買小點心來坐坐。鬆餅大圓形、口味不錯，有推薦的買來吃絕對不會有問題，飲料$40也符合期待值。
的確很好的地方，停車也方便，溜小孩、溜老婆都是好景點！👍",5,詢問點餐服務人員,詢問 點餐 服務人員,服務,"太陽, 滿滿, 老婆, 詢問, 人員",1,0.07500139866072408,負面
5,"春分時節、非假日好天氣，排了十幾位。甚至在這裡碰到股市分析大師孫慶隆帶家人一起來，也在此消費。
詢問點餐服務人員，今天好天氣算人數比較多，若是假日又是好天氣，常常排的人龍滿滿。
所以台大的智慧校園，免費桌椅、春天太陽、綠色植物豊富，大家都是來逛累了，買小點心來坐坐。鬆餅大圓形、口味不錯，有推薦的買來吃絕對不會有問題，飲料$40也符合期待值。
的確很好的地方，停車也方便，溜小孩、溜老婆都是好景點！👍",5,今天好天氣算人數比較多,今天 好 天氣算 人數,其他,"太陽, 滿滿, 老婆, 詢問, 人員",1,0.10150285900680467,負面
6,"春分時節、非假日好天氣，排了十幾位。甚至在這裡碰到股市分析大師孫慶隆帶家人一起來，也在此消費。
詢問點餐服務人員，今天好天氣算人數比較多，若是假日又是好天氣，常常排的人龍滿滿。
所以台大的智慧校園，免費桌椅、春天太陽、綠色植物豊富，大家都是來逛累了，買小點心來坐坐。鬆餅大圓形、口味不錯，有推薦的買來吃絕對不會有問題，飲料$40也符合期待值。
的確很好的地方，停車也方便，溜小孩、溜老婆都是好景點！👍",5,若是假日又是好天氣,假日 好 天氣,其他,"太陽, 滿滿, 老婆, 詢問, 人員",1,0.03112965299367121,負面
7,"春分時節、非假日好天氣，排了十幾位。甚至在這裡碰到股市分析大師孫慶隆帶家人一起來，也在此消費。
詢問點餐服務人員，今天好天氣算人數比較多，若是假日又是好天氣，常常排的人龍滿滿。
所以台大的智慧校園，免費桌椅、春天太陽、綠色植物豊富，大家都是來逛累了，買小點心來坐坐。鬆餅大圓形、口味不錯，有推薦的買來吃絕對不會有問題，飲料$40也符合期待值。
的確很好的地方，停車也方便，溜小孩、溜老婆都是好景點！👍",5,常常排的人龍滿滿,排 人龍 滿滿,時間,"太陽, 滿滿, 老婆, 詢問, 人員",1,0.056545026302335266,負面
8,"春分時節、非假日好天氣，排了十幾位。甚至在這裡碰到股市分析大師孫慶隆帶家人一起來，也在此消費。
詢問點餐服務人員，今天好天氣算人數比較多，若是假日又是好天氣，常常排的人龍滿滿。
所以台大的智慧校園，免費桌椅、春天太陽、綠色植物豊富，大家都是來逛累了，買小點心來坐坐。鬆餅大圓形、口味不錯，有推薦的買來吃絕對不會有問題，飲料$40也符合期待值。
的確很好的地方，停車也方便，溜小孩、溜老婆都是好景點！👍",5,所以台大的智慧校園,台大 智慧 校園,其他,"太陽, 滿滿, 老婆, 詢問, 人員",1,0.6610079613987246,正面
9,"春分時節、非假日好天氣，排了十幾位。甚至在這裡碰到股市分析大師孫慶隆帶家人一起來，也在此消費。
詢問點餐服務人員，今天好天氣算人數比較多，若是假日又是好天氣，常常排的人龍滿滿。
所以台大的智慧校園，免費桌椅、春天太陽、綠色植物豊富，大家都是來逛累了，買小點心來坐坐。鬆餅大圓形、口味不錯，有推薦的買來吃絕對不會有問題，飲料$40也符合期待值。
的確很好的地方，停車也方便，溜小孩、溜老婆都是好景點！👍",5,免費桌椅、春天太陽、綠色植物豊富,免費 桌椅 春天 太陽 綠色 植物 豊 富,其他,"太陽, 滿滿, 老婆, 詢問, 人員",1,0.12137324258105053,負面
10,"春分時節、非假日好天氣，排了十幾位。甚至在這裡碰到股市分析大師孫慶隆帶家人一起來，也在此消費。
詢問點餐服務人員，今天好天氣算人數比較多，若是假日又是好天氣，常常排的人龍滿滿。
所以台大的智慧校園，免費桌椅、春天太陽、綠色植物豊富，大家都是來逛累了，買小點心來坐坐。鬆餅大圓形、口味不錯，有推薦的買來吃絕對不會有問題，飲料$40也符合期待值。
的確很好的地方，停車也方便，溜小孩、溜老婆都是好景點！👍",5,大家都是來逛累了,逛 累,其他,"太陽, 滿滿, 老婆, 詢問, 人員",1,0.7835531522467627,正面
11,"春分時節、非假日好天氣，排了十幾位。甚至在這裡碰到股市分析大師孫慶隆帶家人一起來，也在此消費。
詢問點餐服務人員，今天好天氣算人數比較多，若是假日又是好天氣，常常排的人龍滿滿。
所以台大的智慧校園，免費桌椅、春天太陽、綠色植物豊富，大家都是來逛累了，買小點心來坐坐。鬆餅大圓形、口味不錯，有推薦的買來吃絕對不會有問題，飲料$40也符合期待值。
的確很好的地方，停車也方便，溜小孩、溜老婆都是好景點！👍",5,買小點心來坐坐,買小點 心來 坐坐,其他,"太陽, 滿滿, 老婆, 詢問, 人員",1,0.8398782307167629,正面
